index,股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
0,002594,2025-12-31,,交通运输设备及电气制造业,648645636000,0.806808,515762940000.0,0.779917,132882696000.0,0.931466,0.204862
1,002594,2025-12-31,,日用电子器件制造业,155236528000,0.193089,145473989000.0,0.21998,9762539000.0,0.068432,0.062888
2,002594,2025-12-31,,其他,82794000,0.000103,68232000.0,0.000103,14562000.0,0.000102,0.175882
3,002594,2025-12-31,按产品分类,汽车、汽车相关产品及其他产品,648645636000,0.806808,515762940000.0,0.779917,132882696000.0,0.931466,0.204862
4,002594,2025-12-31,按产品分类,手机部件、组装及其他产品,155236528000,0.193089,145473989000.0,0.21998,9762539000.0,0.068432,0.062888
5,002594,2025-12-31,按产品分类,其他,82794000,0.000103,68232000.0,0.000103,14562000.0,0.000102,0.175882
6,002594,2025-12-31,按地区分类,中国(包括港澳台地区),493223970000,0.613489,411034216000.0,0.62155,82189754000.0,0.576124,0.166638
7,002594,2025-12-31,按地区分类,境外,310740988000,0.386511,250270945000.0,0.37845,60470043000.0,0.423876,0.1946
8,002594,2025-06-30,,交通运输设备及电气制造业,302506271000,0.814764,240941430000.0,0.79149,61564841000.0,0.920722,0.203516
9,002594,2025-06-30,,日用电子器件制造业,68743903000,0.185153,63447714000.0,0.208425,5296189000.0,0.079206,0.077042
10,002594,2025-06-30,,其他,30774000,8.3e-05,25945000.0,8.5e-05,4829000.0,7.2e-05,0.156918
11,002594,2025-06-30,按产品分类,汽车、汽车相关产品及其他产品,302506271000,0.814764,240941430000.0,0.79149,61564841000.0,0.920722,0.203516
12,002594,2025-06-30,按产品分类,手机部件、组装及其他产品,68743903000,0.185153,63447714000.0,0.208425,5296189000.0,0.079206,0.077042
13,002594,2025-06-30,按产品分类,其他,30774000,8.3e-05,25945000.0,8.5e-05,4829000.0,7.2e-05,0.156918
14,002594,2025-06-30,按地区分类,中国(包括港澳台地区),235923281000,0.635431,195880048000.0,0.643464,40043233000.0,0.598859,0.16973
15,002594,2025-06-30,按地区分类,境外,135357667000,0.364569,108535041000.0,0.356536,26822626000.0,0.401141,0.198161
16,002594,2024-12-31,,交通运输设备及电气制造业,617381935000,0.794467,479660859000.0,0.766174,137721076000.0,0.911723,0.223073
17,002594,2024-12-31,,日用电子器件制造业,159608576000,0.205389,146289389000.0,0.233672,13319187000.0,0.088174,0.083449
18,002594,2024-12-31,,其他,111944000,0.000144,96368000.0,0.000154,15576000.0,0.000103,0.139141
19,002594,2024-12-31,按产品分类,汽车、汽车相关产品及其他产品,617381935000,0.794467,479660859000.0,0.766174,137721076000.0,0.911723,0.223073
20,002594,2024-12-31,按产品分类,手机部件、组装及其他产品,159608576000,0.205389,146289389000.0,0.233672,13319187000.0,0.088174,0.083449
21,002594,2024-12-31,按产品分类,其他,111944000,0.000144,96368000.0,0.000154,15576000.0,0.000103,0.139141
22,002594,2024-12-31,按地区分类,中国(包括港澳台地区),555217682000,0.714472,443177165000.0,0.707898,112040517000.0,0.741716,0.201796
23,002594,2024-12-31,按地区分类,境外,221884773000,0.285528,182869451000.0,0.292102,39015322000.0,0.258284,0.175836
24,002594,2024-06-30,,交通运输设备及电气制造业,228316902000,0.758209,173666734000.0,0.721028,54650168000.0,0.906805,0.239361
25,002594,2024-06-30,,日用电子器件制造业,72778443000,0.241687,67165908000.0,0.278859,5612535000.0,0.093128,0.077118
26,002594,2024-06-30,,其他,31368000,0.000104,27340000.0,0.000114,4028000.0,6.7e-05,0.128411
27,002594,2024-06-30,按产品分类,汽车、汽车相关产品及其他产品,228316902000,0.758209,173666734000.0,0.721028,54650168000.0,0.906805,0.239361
28,002594,2024-06-30,按产品分类,手机部件、组装及其他产品,72778443000,0.241687,67165908000.0,0.278859,5612535000.0,0.093128,0.077118
29,002594,2024-06-30,按产品分类,其他,31368000,0.000104,27340000.0,0.000114,4028000.0,6.7e-05,0.128411
30,002594,2024-06-30,按地区分类,中国(包括港澳台地区),211180522000,0.701301,166575804000.0,0.691588,44604718000.0,0.740122,0.211216
31,002594,2024-06-30,按地区分类,境外,89946191000,0.298699,74284178000.0,0.308412,15662013000.0,0.259878,0.174126
32,002594,2023-12-31,,交通运输设备及电气制造业,483453318000,0.802658,372156503000.0,0.774425,111296815000.0,0.91409,0.230212
33,002594,2023-12-31,,日用电子器件制造业,118576910000,0.196868,108165634000.0,0.225083,10411276000.0,0.085509,0.087802
34,002594,2023-12-31,,其他,285126000,0.000473,236213000.0,0.000492,48913000.0,0.000402,0.171549
35,002594,2023-12-31,按产品分类,汽车、汽车相关产品及其他产品,483453318000,0.802658,372156503000.0,0.774425,111296815000.0,0.91409,0.230212
36,002594,2023-12-31,按产品分类,手机部件、组装及其他产品,118576910000,0.196868,108165634000.0,0.225083,10411276000.0,0.085509,0.087802
37,002594,2023-12-31,按产品分类,其他,285126000,0.000473,236213000.0,0.000492,48913000.0,0.000402,0.171549
38,002594,2023-12-31,按地区分类,中国(包括港澳台地区),442093854000,0.733991,331726626000.0,0.690294,110367228000.0,0.906455,0.249647
39,002594,2023-12-31,按地区分类,境外,160221500000,0.266009,148831724000.0,0.309706,11389776000.0,0.093545,0.071088
40,002594,2023-06-30,,交通运输设备及电气制造业,208823603000,0.802784,165662894000.0,0.779768,43160709000.0,0.905357,0.206685
41,002594,2023-06-30,,日用电子器件制造业,51090165000,0.196407,46607145000.0,0.219378,4483020000.0,0.094038,0.087747
42,002594,2023-06-30,,其他,210375000,0.000809,181517000.0,0.000854,28858000.0,0.000605,0.137174
43,002594,2023-06-30,按产品分类,汽车、汽车相关产品及其他产品,208823603000,0.802784,165662894000.0,0.779768,43160709000.0,0.905357,0.206685
